Rank,Restaurant,Sales,Average Check,City,State,Meals Served
1,Carmine's (Times Square),39080335.0,40,New York,New York,469803.0
2,The Boathouse Orlando,35218364.0,43,Orlando,Florida,820819.0
3,Old Ebbitt Grill,29104017.0,33,Washington,D.C.,892830.0
4,LAVO Italian Restaurant & Nightclub,26916180.0,90,New York,New York,198500.0
5,Bryant Park Grill & Cafe,26900000.0,62,New York,New York,403000.0
6,Gibsons Bar & Steakhouse,25409952.0,80,Chicago,Illinois,348567.0
7,Top of the World at the STRAT ,25233543.0,103,Las Vegas,Nevada,246054.0
8,Maple & Ash,24837595.0,99,Chicago,Illinois,210832.0
9,Balthazar,24547800.0,87,New York,New York,519000.0
10,Smith & Wollensky,24501000.0,107,New York,New York,257364.0
11,Angus Barn,24268160.0,75,Raleigh,North Carolina,315000.0
12,Prime 112,23800000.0,135,Miami Beach,Florida,206000.0
13,"Joe's Seafood, Prime Steak & Stone Crab",23660000.0,86,Washington,D.C.,277850.0
14,Junior's (Times Square),23640652.0,23,New York,New York,914500.0
15,The Hamilton,23138062.0,33,Washington,D.C.,700861.0
16,"Joe's Seafood, Prime Steak & Stone Crab",22981600.0,91,Chicago,Illinois,252500.0
17,"Joe's Seafood, Prime Steak & Stone Crab",22859400.0,81,Las Vegas,Nevada,286000.0
18,Gibsons Italia,22749232.0,108,Chicago,Illinois,252962.0
19,Komodo,22500000.0,98,Miami,Florida,265000.0
20,Buddakan,22395577.0,67,New York,New York,221059.0
21,Bazaar Meat by Jose Andres,22181607.0,119,Las Vegas,Nevada,190000.0
22,SW Steakhouse,21523650.0,149,Las Vegas,Nevada,145700.0
23,St. Elmo Steak House,21422141.0,99,Indianapolis,Indiana,192774.0
24,RPM Steak,20853300.0,102,Chicago,Illinois,202900.0
25,Mon Ami Gabi,20120210.0,76,Las Vegas,Nevada,319200.0
26,Gibsons Bar & Steakhouse,19831818.0,81,Oak Brook,Illinois,276444.0
27,Paddlefish,19829500.0,48,Orlando,Florida,417500.0
28,Taste of Texas,19530159.0,55,Houston,Texas,375241.0
29,Parc,19379153.0,35,Philadelphia,Pennsylvania,486219.0
30,Bob Chinn's Crab House,18687601.0,48,Wheeling,Illinois,625907.0
31,Quality Meats,18678000.0,115,New York,New York,165148.0
32,Del Posto,18625033.0,194,New York,New York,95000.0
33,Shooters Waterfront,18601433.0,57,Ft. Lauderdale,Florida,409752.0
34,Bottega Louie,18521000.0,36,Los Angeles,California,322562.0
35,Le Diplomate,18490719.0,38,Washington,D.C.,363609.0
36,Gibsons Bar & Steakhouse,18483056.0,79,Rosemont,Illinois,252419.0
37,Lavo Italian Restaurant & Lounge,18386262.0,97,Las Vegas,Nevada,115500.0
38,Prime Steakhouse,18248030.0,173,Las Vegas,Nevada,113600.0
39,Makoto,18216906.0,54,Bal Harbour,Florida,256830.0
40,Original Joe's Westlake,18159612.0,35,Daly City,California,473492.0
41,Shaw's Crab House,17965500.0,72,Chicago,Illinois,270000.0
42,"Founding Farmers (Washington, D.C.)",17910045.0,33,Washington,D.C.,648096.0
43,Junior's (49th Street),17834390.0,22,New York,New York,798000.0
44,Chops Lobster Bar,17816450.0,106,Atlanta,Georgia,168000.0
45,Chicago Cut Steakhouse,17743720.0,95,Chicago,Illinois,211000.0
46,Swift & Sons,17637400.0,119,Chicago,Illinois,195343.0
47,Harris Ranch Inn & Restaurant,17599468.0,29,Coalinga,California,611928.0
48,Sparks Steak House,17519030.0,100,New York,New York,198200.0
49,Quality Italian,17519000.0,95,New York,New York,177337.0
50,Frankenmuth Bavarian Inn,17388751.0,19,Frankenmuth,Michigan,899284.0
51,Tavern on the Green,17212800.0,76,New York,New York,250000.0
52,Abe & Louie's,17063477.0,106,Boston,Massachusetts,160762.0
53,Rusty Pelican,16981741.0,98,Miami,Florida,182000.0
54,Beauty & Essex (New York City),16364050.0,90,New York,New York,187970.0
55,Grand Central Oyster Bar,16304883.0,62,New York,New York,296000.0
56,Delmonico Steakhouse,16154000.0,103,Las Vegas,Nevada,133000.0
57,Portland City Grill,16111510.0,83,Portland,Oregon,268062.0
58,Zehnder's of Frankenmuth,16063684.0,17,Frankenmuth,Michigan,959026.0
59,The Rustic Inn,15700000.0,43,Ft. Lauderdale,Florida,371000.0
60,Harry Caray's Italian Steakhouse,15680000.0,59,Chicago,Illinois,287900.0
61,Keens Steakhouse,15629700.0,97,New York,New York,168301.0
62,The Lobster House,15450000.0,43,Cape May,New Jersey,320000.0
63,China Live,15106280.0,54,San Francisco,California,300000.0
64,Prime & Provisions,15100000.0,130,Chicago,Illinois,116154.0
65,Carmine's (Las Vegas),15067804.0,45,Las Vegas,Nevada,176221.0
66,Swan,15000000.0,78,Miami,Florida,225000.0
67,15th Street Fisheries,14978103.0,69,Fort Lauderdale,Florida,356000.0
68,Atlanta Fish Market,14972300.0,57,Atlanta,Georgia,274000.0
69,Acme Feed & Seed,14897125.0,22,Nashville,Tennessee,527130.0
70,Hugo's Frog Bar & Fish House,14790123.0,80,Chicago,Illinois,190616.0
71,Cliff House,14465847.0,40,San Francisco,California,199901.0
72,Castaway Burbank,14407413.0,60,Burbank,California,180320.0
73,Matt's El Rancho,14381904.0,29,Austin,Texas,495927.0
74,Timberline Steaks and Grille,14362103.0,37,Denver,Colorado,553378.0
75,Beauty & Essex (Las Vegas),14130500.0,99,Las Vegas,Nevada,150000.0
76,Carmine's (Atlantic City),13987843.0,39,Atlantic City,New Jersey,129630.0
77,Junior's (Brooklyn),13908292.0,23,New York,New York,359000.0
78,Quartino Ristorante & Wine Bar,13854856.0,32,Chicago,Illinois,394582.0
79,Paradise Cove Beach Cafe,13654113.0,39,Malibu,California,312050.0
80,BOA Steakhouse ,13552485.0,110,West Hollywood,California,123204.0
81,Original Joe's,13177468.0,45,San Francisco,California,267533.0
82,"Founding Farmers (McLean, Va.)",13102742.0,38,McLean,Virginia,390104.0
83,Siena Tavern,13100000.0,55,Chicago,Illinois,238182.0
84,Girl & the Goat,12894700.0,82,Chicago,Illinois,183000.0
85,Tavern on Rush,12884000.0,72,Chicago,Illinois,178944.0
86,Harry & Izzy's Circle Centre,12809921.0,66,Indianapolis,Indiana,174166.0
87,Scoma's,12713394.0,65,San Francisco,California,292000.0
88,Farmers Fishers Bakers,12572109.0,37,Washington,D.C.,371025.0
89,Southern Steak & Oyster,12566618.0,39,Nashville,Tennessee,337920.0
90,Big Texan Steak Ranch,12505200.0,24,Amarillo,Texas,478000.0
91,"Park Avenue Summer (Autumn, Winter, Spring)",12498000.0,84,New York,New York,164531.0
92,Farmers & Distillers,12278839.0,36,Washington,D.C.,375309.0
93,Virgil's Real Barbecue,12245998.0,31,New York,New York,251800.0
94,"Carmine's (Washington, D.C.)",12228168.0,39,Washington,D.C.,148135.0
95,Franciscan Crab Restaurant,12218147.0,59,San Francisco,California,240000.0
96,George's at the Cove,12194000.0,80,La Jolla,California,250000.0
97,Le Coucou,12187523.0,95,New York,New York,87070.0
98,Mi Vida,12032014.0,38,Washington,D.C.,226226.0
99,Upland,11965564.0,52,New York,New York,171825.0
100,Virgil's Real Barbecue,11391678.0,27,Las Vegas,Nevada,208276.0
